Artist,Word_Count
10cc,10785
10 Years (band),4400
3 Doors Down,7481
311 (band),8682
38 Special (band),4522
AC/DC,28123
Bryan Adams,38702
Aerosmith,30152
AFI (band),9437
Air Supply,7053
The Alan Parsons Project,3438
Alice in Chains,32451
The All-American Rejects,9140
The Allman Brothers Band,12601
Alter Bridge,12132
Ambrosia (band),4756
America (band),8179
The Animals,4495
Adam Ant,15051
Anthrax (American band),14280
April Wine,5814
Arcade Fire,16658
Arctic Monkeys,25882
Asia (band),9394
Audioslave,6371
Avenged Sevenfold,16242
Awolnation,9247
The B-52's,13
Bachman–Turner Overdrive,10352
Bad Company,5397
Badfinger,13520
The Band,13591
The Bangles,5410
Barenaked Ladies,12533
Bay City Rollers,12916
The Beach Boys,33891
Beastie Boys,20883
The Beatles,36040
Bee Gees,22770
Beck,18659
Ben Folds Five,3675
Pat Benatar,9224
Chuck Berry,12100
The Big Bopper,4810
Billy Talent,7729
The Black Crowes,5943
The Black Keys,17422
Black Sabbath,30133
Black Stone Cherry,3017
Black Veil Brides,14746
Blink-182,22137
Blondie (band),12111
Bloodhound Gang,4955
Blue October,6197
Blue Öyster Cult,10532
Blues Traveler,5002
James Blunt,11357
Blur (band),12895
Bon Jovi,14401
Boston (band),8152
David Bowie,39959
Bowling for Soup,10615
The Boxtones,2395
Boys Like Girls,9477
Bread (band),5796
Breaking Benjamin,9353
Bring Me the Horizon,31502
Jackson Browne,8204
Buckcherry,4650
Jeff Buckley,13309
Bullet for My Valentine,19636
Chris de Burgh,4106
Bush (British band),6983
The Byrds,28484
Cage the Elephant,7472
Cake (band),9041
Canned Heat,6563
The Cab,8086
The Cardigans,3753
The Cars,3894
Catfish and the Bottlemen,9419
Harry Chapin,6321
Tracy Chapman,6229
Cheap Trick,6872
Chevelle (band),15920
Chicago (band),37330
Chubby Checker,6990
Cinderella (band),3857
Dallas Green (musician),8
Eric Clapton,30788
The Clash,13972
Eddie Cochran,7166
Joe Cocker,7174
Coheed and Cambria,11232
Cold Chisel,8709
Coldplay,46598
Collective Soul,5556
Phil Collins,29024
Alice Cooper,27616
Alice Cooper (band),5995
Chris Cornell,34328
Elvis Costello,27753
Counting Crows,9200
The Cranberries,19628
Crash Test Dummies,5332
Cream (band),6394
Creed (band),12115
Creedence Clearwater Revival,9976
Jim Croce,4399
"Crosby, Stills, Nash & Young",15186
Christopher Cross,5863
Sheryl Crow,13434
Crowded House,10367
The Cult,14548
The Cure,16321
Damn Yankees (band),2389
Charlie Daniels,7401
Dashboard Confessional,5752
Daughtry (band),8051
The Dave Clark Five,3833
Dave Matthews Band,12304
Days of the New,5808
Death Cab for Cutie,9952
Deep Purple,22221
Def Leppard,16355
Deftones,20331
Depeche Mode,20544
Bo Diddley,12447
Dio (band),4850
Dire Straits,12248
Disturbed (band),11575
Fats Domino,8271
Donovan,11502
The Doobie Brothers,11037
The Doors,15576
Dr. Hook & the Medicine Show,9
Dropkick Murphys,14234
Drowning Pool,5439
Duran Duran,19672
Ian Dury,8075
Bob Dylan,41941
Eagles (band),16366
Echo & the Bunnymen,7495
Duane Eddy,9452
Edgar Winter,5650
Electric Light Orchestra,9147
"Emerson, Lake & Palmer",10083
England Dan & John Ford Coley,2175
Melissa Etheridge,8477
Europe (band),8063
Evanescence,28998
Everclear (band),5891
Everlast,3971
The Everly Brothers,8708
Extreme (band),3900
Faces (band),6127
Faith No More,15352
Fall Out Boy,37469
Bryan Ferry,11641
Filter (band),7822
Finger Eleven,5605
FireHouse,3549
Five Finger Death Punch,16529
Five for Fighting,10709
The Fixx,1746
The Flaming Lips,11329
Fleetwood Mac,20021
Flogging Molly,2461
Florence and the Machine,17060
Flyleaf (band),7011
Foals (band),6718
Dan Fogelberg,3356
John Fogerty,8488
Foo Fighters,19368
Foreigner (band),12098
Foster the People,10636
The Four Seasons (band),14205
Peter Frampton,9191
Franz Ferdinand (band),8443
The Fray,8724
Glenn Frey,8349
Fuel (band),5538
Fun (band),3874
Funkadelic,2773
Peter Gabriel,20241
Garbage (band),16149
Genesis (band),24029
Ghost (Swedish band),25804
Gin Blossoms,4744
Gary Glitter,14185
The Go-Go's,6679
Godsmack,13981
Golden Earring,3562
Goo Goo Dolls,8034
Good Charlotte,12592
Grand Funk Railroad,5417
Grateful Dead,20223
Great White,9550
Green Day,34066
Greta Van Fleet,9612
The Guess Who,7277
Guns N' Roses,60205
Halestorm,5380
Bill Haley & His Comets,9663
Hall & Oates,12197
George Harrison,26752
Heart (band),12740
Jimi Hendrix,25788
Don Henley,10714
Herman's Hermits,6450
Highly Suspect,4583
Hinder,6298
The Hives,5965
Hole (band),15436
The Hollies,6315
Buddy Holly,10301
Hoobastank,4526
Hootie & the Blowfish,4501
Icehouse (band),9516
Billy Idol,10008
Imagine Dragons,17473
Incubus (band),11046
Interpol (band),6244
INXS,14011
Iron Maiden,13065
The J. Geils Band,4964
The Jam,8165
Tommy James and the Shondells,3892
Jane's Addiction,13615
Jefferson Airplane,12605
Jefferson Starship,10094
The Jesus and Mary Chain,9128
Jet (Australian band),13
Jethro Tull (band),12099
Joan Jett,11456
Jimmy Eat World,7679
Billy Joel,28470
Elton John,40872
Janis Joplin,21768
Journey (band),13273
Joy Division,8943
Judas Priest,22476
Kaiser Chiefs,6640
Kaleo (band),6127
Kansas (band),7305
Keane (band),9387
Kid Rock,17616
The Killers,19904
Killswitch Engage,11403
Kings of Leon,7625
The Kinks,19121
Kiss (band),27231
Korn,29730
Lenny Kravitz,13018
Lacuna Coil,6891
Lamb of God (band),14984
Avril Lavigne,27433
Led Zeppelin,21598
John Lennon,23396
Huey Lewis and the News,5556
Jerry Lee Lewis,14339
Lifehouse (band),6207
Limp Bizkit,30304
Linkin Park,38190
Little Richard,23753
Little River Band,9065
Live (band),5407
Living Colour,5477
Kenny Loggins,6878
Loverboy,3368
The Lovin' Spoonful,26922
The Lumineers,9580
Lynyrd Skynyrd,8698
The Mamas & the Papas,7799
Manfred Mann,4154
Manfred Mann (musician),2358
Manfred Mann's Earth Band,6464
Manfred Mann Chapter Three,496
Marilyn Manson,36090
Marilyn Manson (band),45310
The Marshall Tucker Band,7181
Matchbox Twenty,5779
John Mayer,27297
John Mayall,6153
John Mayall & the Bluesbreakers,1749
Paul McCartney,42070
Meat Loaf,19361
Megadeth,28570
John Mellencamp,14987
Men at Work,6926
Metallica,34129
Midnight Oil,17411
Mike and the Mechanics,4018
Modest Mouse,6563
Eddie Money,5486
The Monkees,16987
Montgomery Gentry,8644
The Moody Blues,13781
Alanis Morissette,18441
Van Morrison,30709
Morrissey,30188
The Mothers of Invention,8162
Mötley Crüe,30448
Motörhead,21152
Mudvayne,7645
Mumford & Sons,10882
Michael Martin Murphey,6169
Muse (band),14940
My Chemical Romance,28369
New York Dolls,10517
Nickelback,12931
Stevie Nicks,22755
Harry Nilsson,8354
Nine Inch Nails,36672
Nirvana (band),15250
No Doubt,10546
Ted Nugent,17878
Oasis (band),20247
The Offspring,14379
Roy Orbison,15735
Ozzy Osbourne,27900
Our Lady Peace,9251
The Outfield,5758
P.O.D.,7827
Panic! at the Disco,21760
Pantera,16390
Papa Roach,16856
Paramore,30116
Parliament (band),1491
Parliament-Funkadelic,4838
Pearl Jam,20908
A Perfect Circle,13936
Tom Petty,14706
Tom Petty and the Heartbreakers,6454
Pink Floyd,30429
Pixies (band),14645
Robert Plant,14052
Poison (American band),9
The Police,12327
Iggy Pop,16769
Pop Evil,3737
The Presidents of the United States of America (band),3983
The Pretenders,4335
Elvis Presley,34270
The Pretty Reckless,13711
Primus (band),14137
Puddle of Mudd,8195
Queen (band),44638
Queens of the Stone Age,13918
Queensrÿche,12254
Quiet Riot,10663
R.E.M.,19265
Radiohead,33650
Rage Against the Machine,17555
Rainbow (rock band),5712
Rammstein,16596
Ramones,17942
Red Hot Chili Peppers,23817
Lou Reed,15372
REO Speedwagon,5493
Chris Rea,10810
Rise Against,17616
Sixto Rodriguez,7081
The Rolling Stones,41861
Linda Ronstadt,29541
Roxy Music,9587
Royal Blood (band),5244
Run-DMC,8615
Rush (band),25298
Mitch Ryder,2408
Saliva (band),6385
Sam Fender,26574
Santana (band),7228
Joe Satriani,8730
Saving Abel,2274
Scorpions (band),9902
The Script,6813
Seether,7062
Bob Seger,7648
Sepultura,14472
Sex Pistols,18994
Shakin' Stevens,4087
Shinedown,12476
Silverchair,15215
Simon & Garfunkel,12353
Simple Minds,17564
Simple Plan,10007
Skid Row (American band),8473
Skillet (band),11792
Slade,20276
Slayer,25634
Slipknot (band),23052
Sly and the Family Stone,9145
Small Faces,7529
Smash Mouth,7145
The Smashing Pumpkins,21141
The Smiths,15063
Smokie (band),4634
Snow Patrol,10412
Social Distortion,8924
Sonic Youth,12243
Soundgarden,19928
Bruce Springsteen,32455
Billy Squier,4217
Staind,7266
Ringo Starr,22295
Starset,7601
Starship (band),5653
Status Quo (band),9871
Steely Dan,9996
Steppenwolf (band),3645
Steve Miller Band,4277
Rod Stewart,20286
Sting (musician),17635
The Stone Roses,9984
Stone Sour,6717
Stone Temple Pilots,10125
The Strokes,10592
Styx (band),8652
Sublime (band),7589
Sublime with Rome,5596
Sum 41,32223
Supertramp,7946
Survivor (band),7030
The Sweet,10313
System of a Down,18245
T. Rex (band),10206
Talking Heads,7971
James Taylor,13664
Ten Years After,2675
Tenacious D,18048
Tesla (band),4630
Theory of a Deadman,6052
Thin Lizzy,14363
Third Eye Blind,13645
Thirty Seconds to Mars,10529
George Thorogood,6115
Thousand Foot Krutch,7030
Three Days Grace,19957
Three Dog Night,5687
Tool (band),13392
Toto (band),10814
Traffic (band),4797
The Tragically Hip,9943
Train (band),11776
Traveling Wilburys,9045
Travis (band),7196
Trivium (band),13677
Twenty One Pilots,30908
Twisted Sister,6953
U2,42507
UB40,10804
Uriah Heep (band),10656
The Used,8132
Steve Vai,17393
Ritchie Valens,6034
Vampire Weekend,10243
Van Halen,17167
Van Zant (band),10
Stevie Ray Vaughan,16251
Velvet Revolver,9859
The Velvet Underground,14961
The Verve,7137
Gene Vincent,6842
Volbeat,6250
Joe Walsh,11356
Warrant (American band),4651
W.A.S.P. (band),6098
Weezer,26314
Jack White,22454
The White Stripes,27580
White Zombie (band),4351
Whitesnake,26755
The Who,29307
Paul McCartney and Wings,10815
Steve Winwood,8204
X (American band),4897
X Ambassadors,5482
The Yardbirds,8023
Yes (band),21165
Neil Young,26895
Frank Zappa,32897
Rob Zombie,19710
The Zombies,9107
ZZ Top,9983
