src	trg	weight
10cc	Asia (band)	3.8955081193348478
10cc	The Beatles	11.244246883181077
10cc	The Clash	5.920901315213879
10cc	Duran Duran	5.413747892818697
10cc	Electric Light Orchestra	3.0835241152276227
10cc	Peter Gabriel	5.517430161545405
10cc	George Harrison	3.457475894589842
10cc	Herman's Hermits	2.907393427811975
10cc	The Hollies	4.681814569667206
10cc	Jethro Tull (band)	3.842181023459575
10cc	Paul McCartney	7.991090483130463
10cc	The Police	4.515542136057781
10cc	Queen (band)	14.403582487176479
10cc	Ramones	8.837769427932983
10cc	Roxy Music	5.460880434502745
10cc	Sex Pistols	7.258051477446723
10cc	Simon & Garfunkel	3.9691639846968623
10cc	Ringo Starr	4.678173222088001
10cc	Steely Dan	5.130608481664053
10cc	Toto (band)	4.130146579016703
10cc	The Yardbirds	3.7426334583956815
10cc	Frank Zappa	4.792665377134408
10cc	Eric Clapton	5.713719063226751
10cc	The Moody Blues	2.9007940571161086
10cc	Status Quo (band)	5.942802746896541
10 Years (band)	Breaking Benjamin	5.254815505402539
10 Years (band)	Deftones	10.48369733828506
10 Years (band)	Disturbed (band)	4.682283798742444
10 Years (band)	Korn	16.406154337964637
10 Years (band)	Linkin Park	12.59865320123374
10 Years (band)	Mudvayne	3.8311461663106323
10 Years (band)	Puddle of Mudd	5.167282511402621
10 Years (band)	Shinedown	6.001170870030322
10 Years (band)	Stone Temple Pilots	9.301150700671766
10 Years (band)	Thousand Foot Krutch	3.349466775179627
10 Years (band)	Alice in Chains	24.73366769289093
10 Years (band)	Flyleaf (band)	1.7676498469328374
10 Years (band)	Highly Suspect	3.895014856572979
10 Years (band)	Theory of a Deadman	3.4284740559852516
3 Doors Down	Alter Bridge	3.47479384212767
3 Doors Down	The Band	18.570848010167154
3 Doors Down	Bon Jovi	9.56831261426967
3 Doors Down	Collective Soul	5.664744200825017
3 Doors Down	Daughtry (band)	3.7517963220347283
3 Doors Down	Hinder	2.4437333125590097
3 Doors Down	Kiss (band)	13.368710682690837
3 Doors Down	Lynyrd Skynyrd	7.513320309735292
3 Doors Down	Nickelback	5.346275734773981
3 Doors Down	Puddle of Mudd	3.12734057370337
3 Doors Down	Rush (band)	15.594744428611785
3 Doors Down	Bob Seger	10.049863496819846
3 Doors Down	Shinedown	4.25679809356165
3 Doors Down	Staind	4.5454094851716
3 Doors Down	ZZ Top	7.733704645308576
3 Doors Down	Breaking Benjamin	3.834958308810471
3 Doors Down	Creed (band)	2.8666164061417363
3 Doors Down	Days of the New	3.82974062637303
3 Doors Down	Finger Eleven	3.408487895329999
3 Doors Down	Flyleaf (band)	6.1286178990874856
3 Doors Down	Pop Evil	4.130556864339295
3 Doors Down	Saliva (band)	3.5620769945966764
3 Doors Down	Seether	3.403185989915127
3 Doors Down	Train (band)	7.71423093649348
311 (band)	Asia (band)	5.227644788694594
311 (band)	The Band	10.033304770176398
311 (band)	The Clash	5.128482474222583
311 (band)	The Cure	4.246144312631258
311 (band)	Deftones	4.091369282131053
311 (band)	Emerson, Lake & Palmer	5.240614554476773
311 (band)	Faith No More	3.52949061412296
311 (band)	Incubus (band)	3.5256595452821826
311 (band)	Jane's Addiction	4.995857537604841
311 (band)	Billy Joel	8.18803347095498
311 (band)	Led Zeppelin	14.88535534399828
311 (band)	John Lennon	11.153775227834549
311 (band)	The Offspring	4.342684222189218
311 (band)	Papa Roach	5.670936852245995
311 (band)	Pink Floyd	8.604572340841612
311 (band)	Red Hot Chili Peppers	6.635760261780227
311 (band)	The Rolling Stones	11.06643174879318
311 (band)	Sublime with Rome	12.170275580520949
311 (band)	Yes (band)	6.6248554178238255
311 (band)	Anthrax (American band)	4.400844360783765
311 (band)	Awolnation	4.226928052476011
311 (band)	Korn	6.151653885711692
38 Special (band)	Bryan Adams	16.75957975539165
38 Special (band)	Bon Jovi	12.09043392422397
38 Special (band)	Edgar Winter	4.38029125501222
38 Special (band)	Peter Frampton	9.254163909895414
38 Special (band)	Jefferson Starship	6.388714968052778
38 Special (band)	Billy Joel	10.364627668813192
38 Special (band)	Journey (band)	8.16592883405659
38 Special (band)	Kiss (band)	18.606257159573012
38 Special (band)	Huey Lewis and the News	7.790258652841282
38 Special (band)	Lynyrd Skynyrd	8.84304344725285
38 Special (band)	Ted Nugent	9.114280820277981
38 Special (band)	REO Speedwagon	4.634064247231778
38 Special (band)	Styx (band)	3.661369536911437
38 Special (band)	Survivor (band)	3.549701256318508
38 Special (band)	Golden Earring	4.336519707597233
38 Special (band)	Grand Funk Railroad	4.747360581927224
38 Special (band)	Kansas (band)	4.27446999153727
38 Special (band)	Kid Rock	9.045675084586485
AC/DC	Aerosmith	3.804176527964454
AC/DC	Audioslave	6.380499981068366
AC/DC	Chuck Berry	6.886221241607608
AC/DC	Black Sabbath	3.8326221347166443
AC/DC	Blue Öyster Cult	4.164419578674796
AC/DC	Bon Jovi	4.426001031407024
AC/DC	Cheap Trick	5.461663704735584
AC/DC	Alice Cooper	4.751433231354104
AC/DC	Deep Purple	7.732015179245723
AC/DC	Def Leppard	3.8850812136092814
AC/DC	Dio (band)	5.896716443698324
AC/DC	Donovan	8.616737183373441
AC/DC	Foo Fighters	6.284971156082958
AC/DC	Guns N' Roses	5.053395217502594
AC/DC	Jane's Addiction	5.263402381452591
AC/DC	Elton John	8.795688052358956
AC/DC	Judas Priest	3.1807918900429195
AC/DC	Kiss (band)	4.027423481961702
AC/DC	Megadeth	2.7488755627024952
AC/DC	Metallica	3.583450925135246
AC/DC	Ted Nugent	3.9142963729992406
AC/DC	Ozzy Osbourne	4.137359849853318
AC/DC	Robert Plant	5.059230302551611
AC/DC	Queens of the Stone Age	5.784267641394677
AC/DC	Rage Against the Machine	3.218221686667683
AC/DC	Lou Reed	6.4553113321326405
AC/DC	Rush (band)	4.971591334312338
AC/DC	Scorpions (band)	4.624206987787253
AC/DC	Slade	5.19160256612908
AC/DC	Slayer	3.6914497831217745
AC/DC	Styx (band)	10.488560863574222
AC/DC	Thin Lizzy	4.751858431393236
AC/DC	The Velvet Underground	8.221697409328874
AC/DC	Alice in Chains	6.323139794248479
AC/DC	Anthrax (American band)	3.445453800172214
AC/DC	Asia (band)	8.670838659393242
AC/DC	The Black Crowes	8.189214313123552
AC/DC	Boston (band)	6.989344487709875
AC/DC	Buckcherry	7.153155014215417
AC/DC	The Clash	8.117538219087253
AC/DC	The Cult	3.6759794615176564
AC/DC	Dropkick Murphys	11.808882462965983
AC/DC	Drowning Pool	6.287409454383265
AC/DC	Duran Duran	6.061318814982706
AC/DC	Foreigner (band)	6.9464770658681685
AC/DC	Halestorm	9.408756713408831
AC/DC	Hinder	5.29121330185603
AC/DC	INXS	10.021566076555365
AC/DC	Jimmy Eat World	14.854402781852027
AC/DC	Billy Joel	9.112110430926068
AC/DC	Kid Rock	6.405841469694001
AC/DC	Little Richard	6.729980468346408
AC/DC	Marilyn Manson (band)	3.3789424199317883
AC/DC	My Chemical Romance	6.018056458845555
AC/DC	Oasis (band)	7.424469554495454
AC/DC	P.O.D.	10.643524543472147
AC/DC	Pantera	3.5368364096599785
AC/DC	The Police	4.960434673018095
AC/DC	The Pretty Reckless	5.641048456063255
AC/DC	Puddle of Mudd	7.651078997984555
AC/DC	Queensrÿche	3.8018086572682
AC/DC	Royal Blood (band)	10.400010972774643
AC/DC	Sepultura	3.2138233729244976
AC/DC	Slipknot (band)	3.844154472391152
AC/DC	Sting (musician)	7.873176744479242
AC/DC	Sum 41	6.079503065393471
AC/DC	The Sweet	7.05877879544148
AC/DC	George Thorogood	19.472553945004684
AC/DC	Trivium (band)	4.258218275520667
AC/DC	Twisted Sister	3.824898012628193
AC/DC	Volbeat	8.699441398779516
AC/DC	The White Stripes	6.784122064370001
AC/DC	White Zombie (band)	5.9558373787694725
AC/DC	Whitesnake	6.6589840004552965
Bryan Adams	Bachman–Turner Overdrive	8.070581159772766
Bryan Adams	The Beach Boys	10.376560806119182
Bryan Adams	The Beatles	7.957880517549202
Bryan Adams	Beck	8.913340144568865
Bryan Adams	Pat Benatar	14.791549206670773
Bryan Adams	Chuck Berry	4.016538104723378
Bryan Adams	Black Sabbath	7.7060147556372875
Bryan Adams	Bon Jovi	4.724543926014939
Bryan Adams	David Bowie	6.005232528513482
Bryan Adams	Eric Clapton	5.171573620136496
Bryan Adams	Joe Cocker	6.969803967625545
Bryan Adams	Alice Cooper	6.0183929174542845
Bryan Adams	Creedence Clearwater Revival	7.204489387092541
Bryan Adams	Deep Purple	6.407989470297128
Bryan Adams	Def Leppard	5.412426648137131
Bryan Adams	Bob Dylan	9.129859412661594
Bryan Adams	Extreme (band)	16.373535415582655
Bryan Adams	Foreigner (band)	6.573667869813374
Bryan Adams	Peter Frampton	4.382595177251309
Bryan Adams	Peter Gabriel	7.4689850887973845
Bryan Adams	George Harrison	5.335055918526178
Bryan Adams	Billy Idol	6.662884413939671
Bryan Adams	Joan Jett	6.122710381170736
Bryan Adams	Billy Joel	5.554814029433963
Bryan Adams	Elton John	5.520761057531187
Bryan Adams	Journey (band)	7.740012388665847
Bryan Adams	Kiss (band)	5.825800096331991
Bryan Adams	Avril Lavigne	10.793426710602507
Bryan Adams	Led Zeppelin	9.781963684419154
Bryan Adams	John Lennon	4.570754466986817
Bryan Adams	Loverboy	15.209258147463206
Bryan Adams	Metallica	9.344012125421662
Bryan Adams	Alanis Morissette	9.597021691168498
Bryan Adams	Van Morrison	6.803303703864914
Bryan Adams	Mötley Crüe	7.593615332750335
Bryan Adams	Stevie Nicks	5.455562275876731
Bryan Adams	Pink Floyd	8.125040762139442
Bryan Adams	Iggy Pop	5.8935251504740656
Bryan Adams	Elvis Presley	7.49533702510973
Bryan Adams	R.E.M.	6.362444404092761
Bryan Adams	Rammstein	12.374438047828866
Bryan Adams	Red Hot Chili Peppers	7.237368479905386
Bryan Adams	Lou Reed	5.06363809345051
Bryan Adams	The Rolling Stones	5.52040971499533
Bryan Adams	Bob Seger	6.269081041313982
Bryan Adams	Bruce Springsteen	6.580897833094215
Bryan Adams	Ringo Starr	5.568158702106856
Bryan Adams	Status Quo (band)	11.527570805950743
Bryan Adams	Rod Stewart	5.028384451589274
Bryan Adams	Sting (musician)	4.773449001994533
Bryan Adams	T. Rex (band)	6.7933770984291755
Bryan Adams	James Taylor	7.702554938296604
Bryan Adams	The Tragically Hip	16.58964991287161
Bryan Adams	U2	8.167200082638155
Bryan Adams	Uriah Heep (band)	7.191165351976946
Bryan Adams	Van Halen	6.026021281061657
Bryan Adams	The Who	5.591659965061234
Bryan Adams	Neil Young	5.038589376373025
Bryan Adams	ZZ Top	5.949661595387051
Bryan Adams	Barenaked Ladies	13.108742680269986
Bryan Adams	Blondie (band)	6.625671310332802
Bryan Adams	Bowling for Soup	21.627405208979983
Bryan Adams	The Boxtones	24.548563473675628
Bryan Adams	Bush (British band)	6.011952858151184
Bryan Adams	Dire Straits	9.1434679650803
Bryan Adams	The Doobie Brothers	6.42892446386824
Bryan Adams	Don Henley	5.5970385634654365
Bryan Adams	The Police	5.138060474568471
Bryan Adams	Survivor (band)	20.766453717783108
Bryan Adams	Stevie Ray Vaughan	5.727285309437634
Aerosmith	The Band	7.223259737458187
Aerosmith	The Beatles	11.608357877735813
Aerosmith	Beck	11.650086488866359
Aerosmith	The Black Crowes	8.448595896810724
Aerosmith	Boston (band)	7.378381341228952
Aerosmith	Cheap Trick	5.534940951252977
Aerosmith	Cinderella (band)	10.587231857239672
Aerosmith	Alice Cooper	4.659797707747627
Aerosmith	Extreme (band)	11.524956564685652
Aerosmith	Godsmack	8.321095994127099
Aerosmith	Guns N' Roses	5.035945861483724
Aerosmith	Heart (band)	4.56376798666743
Aerosmith	Billy Idol	8.873484377819441
Aerosmith	Joan Jett	7.599539790233882
Aerosmith	Kid Rock	6.3553801882756416
Aerosmith	Kiss (band)	3.27218566352645
Aerosmith	Lenny Kravitz	5.473870355142408
Aerosmith	Led Zeppelin	6.969984144566605
Aerosmith	Limp Bizkit	4.755244004073728
Aerosmith	Metallica	4.077080279232676
Aerosmith	Mötley Crüe	2.9779186802211606
Aerosmith	New York Dolls	4.561584247658791
Aerosmith	Harry Nilsson	12.489843170246145
Aerosmith	Nine Inch Nails	5.4107884912570094
Aerosmith	Nirvana (band)	6.367587219374417
Aerosmith	Ted Nugent	4.693867084749427
Aerosmith	Ozzy Osbourne	4.388814949004353
Aerosmith	Papa Roach	6.59525795874223
Aerosmith	Pearl Jam	6.18004717325734
Aerosmith	Radiohead	8.588660163635216
Aerosmith	Run-DMC	11.09014139347735
Aerosmith	Skid Row (American band)	4.636875529005172
Aerosmith	Staind	5.742477698025703
Aerosmith	Stone Temple Pilots	5.450548727782237
Aerosmith	Tesla (band)	13.537665983602833
Aerosmith	Thin Lizzy	4.727333775010066
Aerosmith	Train (band)	8.019833846121598
Aerosmith	U2	7.804139189684194
Aerosmith	Van Halen	3.660019639716585
Aerosmith	Velvet Revolver	5.782480436862963
Aerosmith	Warrant (American band)	10.239276753529321
Aerosmith	ZZ Top	4.940474833362693
Aerosmith	Alice in Chains	5.320514072558623
Aerosmith	Black Veil Brides	6.472543119589003
Aerosmith	David Bowie	7.444858379228249
Aerosmith	Buckcherry	7.593373796122606
Aerosmith	Chicago (band)	10.256986010945866
Aerosmith	Collective Soul	16.684904958188163
Aerosmith	Chris Cornell	3.82623483170224
Aerosmith	The Cult	3.581717751675017
Aerosmith	Deep Purple	8.289184989420491
