,Name,Gender
0,.GIFfany,F
1,22,F
2,3rd Street Bandits,M
3,A-Li,F
4,Abby,F
5,Paula Abdul,F
6,Isabella Abiera,F
7,Abigail the Cow,F
8,Princess Abigail,F
9,Queen Abigail,F
10,Abriola Stark,F
11,Abuelita,F
12,Abyss,F
13,The Aceys,M
14,Amy Acker,F
15,Isabella Acres,F
16,Ada,F
17,Amber Lee Adams,F
18,Amy Adams,F
19,Candace Adams,F
20,Charlotte Adams,F
21,Emily Adams,F
22,Gator Adams,F
23,Joey Lauren Adams,F
24,Lexi Adams,F
25,Addison,F
26,Amber Addison,F
27,Adelle,F
28,Adira,F
29,Pamela Adlon,F
30,Adora,F
31,Iris Adrian,F
32,Aerosol,F
33,Afia,F
34,Afro-Cuban Musicians,M
35,Aftershock,F
36,Agatha,F
37,Agathe,F
38,Agent 33,F
39,Agent E,F
40,Agent K,F
41,Shohreh Aghdashloo,F
42,Chloë Agnew,F
43,Christina Aguilera,F
44,Jenny Agutter,F
45,Ai Kisugi,F
46,Aida,F
47,Air Pirates,M
48,Aisha,F
49,Ajak,F
50,Ajarry,F
51,Anna Akana,F
52,Akela Amador,F
53,Akua,F
54,Aladar's Mother,F
55,Lori Alan,F
56,Rylee Alazraqui,F
57,Veruca Albano,F
58,Sabrina Alberghetti,F
59,Alberta Falls,F
60,Alchemy,F
61,Amphitryon and Alcmene,M
62,Alecto,F
63,Aletheia,F
64,Aletta,F
65,Alex,M
66,Alex Lovell,F
67,Jaimie Alexander,F
68,Alexandra,F
69,Amber Algoode,F
70,Ali,M
71,Sana Ali,F
72,Alice,F
73,Alice and Desmond Ravenson,M
74,Alice Kane,F
75,Alice Lee,F
76,Alice's Sister,F
77,"Alice, Rose, and Margaret",F
78,Aliens,M
79,Alison Sealy-Smith,F
80,Liz Allan,F
81,Barbara Jo Allen,F
82,Debbie Allen,F
83,Irwina Allen,F
84,Kirstie Alley,F
85,Allie,F
86,Allison,F
87,Elvia Allman,F
88,Ally,F
89,Ally and Jess,F
90,Alma,F
91,Alma Madrigal,F
92,Lorraine Almaden,F
93,Victoria Alonso,F
94,Cristela Alonzo,F
95,Alvin and Millie,M
96,Aly & AJ,F
97,Crystal Amaquelin,F
98,Medusa Amaquelin,F
99,Amara,F
100,Di Amara,F
101,Liv Amara,F
102,Amaryllis,F
103,Queen Amaya,F
104,Amazonia,F
105,Amazons,F
106,Ambassador Auva,F
107,Ambassador Mira,F
108,Ambassador Naos,F
109,Amber,F
110,Princess Amber,F
111,Ambu,F
112,Amelia,F
113,Captain Amelia,F
114,Queen Amena,F
115,Padmé Amidala,F
116,Ammit,F
117,Amneris,F
118,Amora the Enchantress,F
119,Amphitrite,F
120,Amunet,F
121,Amy,F
122,An Yu,F
123,Anamaria,F
124,Anastasia,F
125,Ancient One,F
126,Anda and Kata,F
127,Mrs. Andersen,F
128,Bonnie Anderson,F
129,Ella Anderson,F
130,Ever Anderson,F
131,Mrs. Anderson,F
132,Nicole Anderson,F
133,Sara Anderson,F
134,Kristen Anderson-Lopez,F
135,Julie Andrews,F
136,Roxie Andrews,F
137,Andromeda,F
138,Aneesa,F
139,Aneka,F
140,Cathy Ang,F
141,Anga,F
142,Erica Ange,F
143,Angel,M
144,Angel Kitty,F
145,Heather Angel,F
146,Angela,F
147,Angela Fishberger,F
148,Angela Moore,F
149,Angela Morrisey,F
150,Angelica Schuyler,F
151,Angelique,F
152,Brooke Angels,F
153,Anglerfish,F
154,Angry and Red,F
155,Animals of the African Veldt,M
156,Mae Aniseya,F
157,Jennifer Aniston,F
158,Anita,F
159,Anita Dearly,F
160,Anita Radcliffe,F
161,Ann,F
162,Mary Ann,F
163,Anna,F
164,Anna Otter,F
165,Anna Petterson,F
166,Annabel Banks,F
167,Annabella Sciorra,F
168,Annabeth Chase,F
169,Odette Annable,F
170,Queen Anne,F
171,Annette,F
172,"Annette, Collette, and Danielle",F
173,Annie,F
174,Annie Sue,F
175,Annie the Giant,F
176,Antique Girl Figure,F
177,Antoinette,F
178,Antonia,F
179,Antonia Bello,F
180,Anxiety,F
181,Tulip Aoki,F
182,Apaches,M
183,Apatosaurus,M
184,Aphra,F
185,Aphrodite,F
186,Aphroducky,F
187,Bonnie Appetite,F
188,Christina Applegate,F
189,Appoline,F
190,April,F
191,"April, May, and June",F
192,April-December,F
193,Aqua,F
194,Aquarianne,F
195,Arabella,F
196,Arabella Smith,F
197,Arachne,F
198,Aragorn,F
199,Concetta and Pinuccia Aragosta,F
200,"Arata, Hideo, and Yumi",M
201,Ariadne,F
202,Ariadne Oliver,F
203,Queen Arianna,F
204,Ariel,F
205,Queen Ariel,F
206,Allisyn Arm,F
207,Ashley Armbruster,F
208,The Armorer,F
209,Susan Arnold,F
210,Patricia Arquette,F
211,Arrietty,F
212,Principal Arroyo,F
213,Artemis,F
214,Mitsuko Asatani,F
215,Aseema,F
216,Asgardian Gods,M
217,Asha,F
218,Fiona Ashbury,F
219,Rosemary Ashe,F
220,Vivian Ashe,F
221,Ashley,F
222,The Ashleys,F
223,Mrs. Ashmore,F
224,Aspen,F
225,Astra,F
226,Astrid,F
227,Princess Astrid,F
228,Astuto,F
229,Athena,F
230,Queen Athena,F
231,Atomic Pink,F
232,Atta,F
233,Hayley Atwell,F
234,Colleen Atwood,F
235,Eleanor Audley,F
236,Audrey,F
237,Audrey Ramirez,F
238,Aunt Arctic,F
239,Aunt Beast,F
240,Aunt Bethie,F
241,Aunt Bridget,F
242,Aunt Cass,F
243,Aunt Em,F
244,Aunt Gertie,F
245,Aunt May,F
246,Aunt Rose and Uncle Chuck,M
247,Aunt Sarah,F
248,Aunt Spiker,F
249,Aunt Sponge,F
250,Aunt Tilly,F
251,Auntie,F
252,Auntie Humaira,F
253,Auntie Ruby,F
254,Auntie Shirin,F
255,Auntie Zara,F
256,Aurora,F
257,Ava,F
258,Ava Ayala,F
259,Ava Morgenstern,F
260,Avalon Clan,M
261,Avantika,F
262,Awe,F
263,Awkwafina,F
264,Ayanna and Alanna,F
265,Ayesha,F
266,Ayo,F
267,Azma,F
268,Azurine,F
269,Agent B,F
270,Mel B,F
271,B.E.V.,F
272,Baabra,F
273,Babe,F
274,Babette,F
275,Baboons,M
276,Baby Butter Otter,F
277,Baby Herman's Mother,F
278,Bad-7,M
279,Bad-Anon,M
280,Hermione Baddeley,F
281,Dr. Badger,F
282,Jane Baer,F
283,Bagheera,M
284,Nakia Bahadir,F
285,Bella Bailey,F
286,Grace Bailey,F
287,Halle Bailey,F
288,Laura Bailey,F
289,Lora Baines,F
290,Sharon Baird,F
291,Maria Bakalova,F
292,Baker Bridget,F
293,Deborah Baker Jr.,F
294,Baker's Wife,F
295,Leigh-Allyn Baker,F
296,Brigitte Bako,F
297,Marta Balatico,F
298,Princess Baldegunde,F
299,Ballerina,F
300,Ballerina Princess,F
301,The Balloon Lady,F
302,Bambi's mother,F
303,Maria Bamford,F
304,Marching Band,M
305,Bandits,M
306,Lady Bane,F
307,Elizabeth Banks,F
308,Hailey Banks,F
309,Jane Banks,F
310,Patricia Banks,F
311,Tyra Banks,F
312,Winifred Banks,F
313,Banshee,F
314,Banshee Barista,F
315,Christine Baranski,F
316,Barb,F
317,Candy Barbarian,F
318,Fang Barbarian,F
319,Barbie,F
320,Barbra,F
321,Libe Barer,F
322,Wynter Barkowitz,F
323,Barnacle Bessie,F
324,Becky Barnes,F
325,Chelsea Barnes,F
326,Joanna Barnes,F
327,Baroness Bonbon,F
328,Baroness Von Hellman,F
329,The Baroness' Dalmatians,M
330,Roseanne Barr,F
